number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,15.0015111423977,2026-06-02 14:10:06.551325,2026-06-02 14:10:07.211637,0 days 00:00:00.660312,0.8331302271665355,1.8391586820001535,0.021753494915305885,5,7,308,4.139367242574303,3.234483806466678e-08,0.8786676736519786,COMPLETE
11,14.990571255324685,2026-06-02 14:10:07.211782,2026-06-02 14:10:07.822305,0 days 00:00:00.610523,0.8351611233533004,1.8910224712730672,0.02272750014582044,5,7,261,8.662293890450272,3.8604277933174595e-08,0.8735060149746459,COMPLETE
12,14.970987907973015,2026-06-02 14:10:07.822452,2026-06-02 14:10:08.268793,0 days 00:00:00.446341,0.8579276770472937,1.600158759619538,0.016761300880618463,5,7,200,9.653335543578923,2.924314402090871e-08,0.8667873664146574,COMPLETE
13,15.424147111197367,2026-06-02 14:10:08.268912,2026-06-02 14:10:08.845746,0 days 00:00:00.576834,0.6987313888968132,1.6041978518589126,0.01109342989970122,6,6,208,3.952802266103281,3.000542169484088e-08,0.8899104143656493,COMPLETE
14,15.041989335880013,2026-06-02 14:10:08.845882,2026-06-02 14:10:09.556364,0 days 00:00:00.710482,0.8770851920707352,1.8207942707112188,0.022379008749824073,5,3,338,0.09455441919426295,8.07022712353901e-07,0.8235574100194631,COMPLETE
15,14.76775188832471,2026-06-02 14:10:09.556482,2026-06-02 14:10:10.069396,0 days 00:00:00.512914,0.6991587618066019,1.4123962635511988,0.021145462557171993,3,7,383,0.09764451659296328,2.0330352052413785e-06,0.9317850343792812,COMPLETE
16,14.713126365498809,2026-06-02 14:10:10.069505,2026-06-02 14:10:10.565834,0 days 00:00:00.496329,0.6316465554521642,1.179749350575253,0.015411682809982855,3,6,381,0.11708674658626378,1.328852686607394e-06,0.9478571106196277,COMPLETE
17,14.796014737084308,2026-06-02 14:10:10.565946,2026-06-02 14:10:11.080101,0 days 00:00:00.514155,0.6247296236955526,0.07316604957614814,0.03179943882826701,3,3,395,0.014692320672177576,3.7846237949347596e-06,0.9490264781790256,COMPLETE
18,14.694191935447046,2026-06-02 14:10:11.080210,2026-06-02 14:10:12.049193,0 days 00:00:00.968983,0.603756957110327,4.909698697506884,0.010145700419816562,3,6,759,0.0058945301917492044,1.0924081742494352e-05,0.6776871555142929,COMPLETE
19,14.845956104035592,2026-06-02 14:10:12.049304,2026-06-02 14:10:13.243232,0 days 00:00:01.193928,0.6153463673687645,4.9588240526240694,0.010232575292454183,4,4,765,0.002671326105405525,1.9911298816254882e-05,0.6808519405603909,COMPLETE
20,15.281621343027451,2026-06-02 14:10:13.243386,2026-06-02 14:10:15.458557,0 days 00:00:02.215171,0.5679729996927899,4.945611708134118,0.014561348736271814,7,1,707,0.4861159586016885,0.0015366484393813673,0.6478283124899487,COMPLETE
21,14.761899477179119,2026-06-02 14:10:15.458678,2026-06-02 14:10:16.495294,0 days 00:00:01.036616,0.6937824324536317,1.0902798183685218,0.016941547386777025,3,6,813,0.012244240049473743,4.960910961364424e-07,0.700756726888299,COMPLETE
22,14.814753581203922,2026-06-02 14:10:16.495405,2026-06-02 14:10:17.540664,0 days 00:00:01.045259,0.6847860887872222,2.3370997876460464,0.017228599275783275,3,6,825,0.008348755080548581,2.491593670129855e-07,0.7004837647084232,COMPLETE
23,15.093363351852604,2026-06-02 14:10:17.540771,2026-06-02 14:10:18.610573,0 days 00:00:01.069802,0.5866220639657533,1.092419831548196,0.029952525575241678,4,6,687,0.33761410005542025,9.933301121485212e-06,0.7096300017101792,COMPLETE
24,14.815453143653382,2026-06-02 14:10:18.610682,2026-06-02 14:10:19.717044,0 days 00:00:01.106362,0.7477062162112036,3.2148374424106914,0.010062377196631674,3,4,857,0.012530472713060209,2.2329179630491125e-07,0.5751230083528979,COMPLETE
25,14.829741812633303,2026-06-02 14:10:19.717154,2026-06-02 14:10:20.918906,0 days 00:00:01.201752,0.659825733176722,1.0941226991848638,0.013410676228012428,4,5,648,0.0004642646430242941,3.259376573774067e-07,0.7939078914935893,COMPLETE
26,14.912108859672745,2026-06-02 14:10:20.919233,2026-06-02 14:10:21.995847,0 days 00:00:01.076614,0.747600088089976,2.237100277368017,0.029832962544228323,3,8,821,0.7261831318045379,7.065249643063354e-05,0.6774387563177617,COMPLETE
27,14.862359785590895,2026-06-02 14:10:21.995966,2026-06-02 14:10:22.815323,0 days 00:00:00.819357,0.5137558805371192,3.267686716156036,0.01774785635591196,4,6,512,0.0031512157055913845,6.711414807685249e-06,0.7306465641068145,COMPLETE
28,14.746519556327529,2026-06-02 14:10:22.815468,2026-06-02 14:10:23.956290,0 days 00:00:01.140822,0.5760049199073125,0.13237636864415192,0.012590112511428395,3,3,909,0.021645525079944005,0.0003948379512136276,0.8287698391823372,COMPLETE
29,15.09125128400422,2026-06-02 14:10:23.956406,2026-06-02 14:10:25.795412,0 days 00:00:01.839006,0.5932925109186667,0.27287286774636643,0.01252787586364629,5,2,917,0.029308244476038085,0.4832640065650725,0.8286480817193136,COMPLETE
