Model,RMSE_Val,RMSE_Test,MAE_Val,MAE_Test,R2_Val,R2_Test
Random Forest,14.030466646045936,18.862957215856177,9.230606231358097,13.856096697700583,0.8839671347325863,0.7939559796945752
XGBoost,14.01945218475841,19.58112538112675,9.372109053677672,14.246944427490234,0.8841492438355081,0.7779679298400879
Linear,19.760596164113938,22.225834643147554,16.011721131553006,17.337569634728055,0.7698362785279267,0.7139403429277242
Ridge,19.760353753059857,22.22632925828609,16.011516681845446,17.33790505196635,0.7698419255122225,0.7139276108064301
